Object	Type	B	MB	Distance	Obsdate	Grating	Exptime
NGC 4030	SA(s)bc	11.07	−21.38	29.9a	09/04/2013	R831-G5302	3 × 960
NGC 4697	E6	10.11	−20.4	12.4a	09/04/2014	R831-G5302	3 × 960
NGC 4775	SA(s)d	11.74	−18.45	12b	24/06/2016	R831-G5302	3 × 862
NGC 4781	SB(rs)d	11.69	−18.85	12.8c	27/06/2016	R831-G5302	3 × 862
NGC 4981	SAB(r)bc	11.83	−19.54	19.4c	24/06/2016	R831-G5302	3 × 862
NGC 5792	SB(rs)b	11.72	−20.23	25c	23/06/2016	R831-G5302	3 × 862
NGC 7184	SB(r)c	11.67	−21.07	36.1c	20/06/2016	R831-G5302	3 × 862
NGC 7314	SAB(rs)bc	11.65	−19.66	16c	06/07/2016	R831-G5302	3 × 862
NGC 134	SAB(s)bc	10.96	−20.41	18.3c	24/06/2015	R831-G5322	3 × 930
NGC 157	SAB(rs)bc	11.04	−19.64	12.9d	23/12/2014	R831-G5322	3 × 930
NGC 247	SAB(s)d	9.51	−17.88	3.34e	26/06/2015	R831-G5322	3 × 930
NGC 253	SAB(s)c	8.13	−19	3.05e	07/10/2013	R831-G5322	3 × 910
NGC 289	SB(rs)bc	11.81	−20.07	21.6c	26/09/2016	R831-G5322	3 × 866
NGC 300	SA(s)d	8.70	−17.38	2.17c	26/08/2013	B600-G5323	1800
NGC 584	E4	11.20	−21.83	20a	24/12/2013	B600-G5323	1800
NGC 596	cD	11.88	−20.28	21.7a	24/12/2016	B600-G5323	3 × 565
NGC 613	SB(rs)bc	10.75	−21.02	21.4f	25/01/2015	R831-G5322	3 × 930
NGC 720	E5	11.15	−21.63	30.7g	11/08/2013	B600-G5323	1800
NGC 908	SA(s)c	10.87	−20.5	18.5c	01/12/2014	R831-G5322	3 × 930
NGC 936	SB0(rs)	11.19	−20.71	19.9h	24/11/2014	B600-G5323	3 × 630
NGC 1052	E4	11.53	−20.19	19.2a	30/09/2013	B600-G5323	1800
NGC 1068	(R)SA(rs)b	9.55	−20.35	10.1f	13/11/2010	B600-G5323	6 × 830
NGC 1097	SB(s)b	10.16	−20.71	15.4c	10/08/2016	B600-G5323	3 × 565
NGC 1187	SB(r)c	10.93	−20.26	21.4c	23/12/2014	R831-G5322	3 × 930
NGC 1201	SA0(r)	11.56	−19.97	20.2i	02/10/2016	B600-G5323	3 × 565
NGC 1255	SAB(rs)bc	11.60	−19.19	14.1c	29/12/2016	R831-G5322	3 × 866
NGC 1291	(R)SB0/a(s)	9.42	−19.99	8.6j	27/11/2014	B600-G5323	3 × 630
NGC 1300	SB(rs)bc	11.10	−19.85	14.5f	11/09/2013	B600-G5323	1800
NGC 1302	(R)SB0/a(r)	11.38	−18.48	8.36b	07/01/2016	B600-G5323	3 × 565
NGC 1313	SB(s)d	9.37	−18.33	3.7j	04/12/2012	B600-G5323	3 × 589
NGC 1316	SAB0(s)	9.60	−22.64	20.8k	07/10/2013	B600-G5323	1800
NGC 1326	(R)SB0(r)	11.34	−20.29	18.9l	28/09/2016	B600-G5323	3 × 565
NGC 1332	S0(s)	11.29	−20.68	22.9i	07/10/2013	B600-G5323	1800
NGC 1344	E5	11.28	−20.53	21m	01/10/2016	B600-G5323	3 × 565
NGC 1365	SB(s)b	10.21	−20.66	13.6c	01/12/2014	B600-G5323	3 × 630
NGC 1380	SA0	11.10	−21	20.6m	07/08/2008	B600-G5323	1800
NGC 1387	SAB0(s)	11.83	−19.93	19.1a	14/01/2016	B600-G5323	3 × 565
NGC 1395	E2	11.18	−21.57	24.3h	26/08/2013	B600-G5323	1800
NGC 1398	(R’)SB(r)ab	10.60	−22.16	28.6c	13/09/2015	B600-G5323	3 × 565
NGC 1399	E1	10.79	−21.67	21.1m	04/08/2008	B600-G5323	1800
NGC 1404	E1	11.06	−20.81	19g	05/08/2008	B600-G5323	1800
NGC 1407	E0	10.93	−21.87	25.1n	26/08/2013	B600-G5323	1800
NGC 1411	SA0(r)	11.70	−19.92	19.1a	15/01/2016	B600-G5323	3 × 565
NGC 1427	cD	11.94	−20.63	25.8g	28/09/2016	B600-G5323	3 × 565
NGC 1433	(R’)SB(r)ab	10.68	−19.26	8.32e	20/01/2016	B600-G5323	3 × 565
NGC 1515	SAB(s)bc	11.93	−19.61	17.9c	11/11/2016	R831-G5322	3 × 866
NGC 1527	SAB0(r)	11.70	−19.74	18.5h	16/12/2015	B600-G5323	3 × 565
NGC 1533	SB0	11.71	−20.36	24.1g	15/01/2016	B600-G5323	3 × 565
NGC 1537	SAB0	11.62	−20.39	23.1a	15/01/2016	B600-G5323	3 × 565
NGC 1543	(R)SB0(s)	11.49	−20.81	18.4g	20/01/2016	B600-G5323	3 × 565
NGC 1549	E0−1	10.76	−20.51	16.3g	28/08/2013	B600-G5323	1800
