Galaxy Name	RA	DEC
NGC 4030	180.0984929	-1.1000504
NGC 4697	192.1495343	-5.8006418
NGC 4775	193.4404369	-6.622408
NGC 4781	193.5989683	-10.5371445
NGC 4981	197.2031586	-6.7774829
NGC 5792	224.5945605	-1.091196029
NGC 7184	330.6659123	-20.812677
NGC 7314	338.9425065	-26.0504361
NGC 134	7.5915242	-33.2439604
NGC 157	8.6949502	-8.3964146
NGC 247	11.78452164	-20.76045721
NGC 253	11.88804167	-25.28808333
NGC 289	13.176134	-31.2058643
NGC 300	13.722702	-37.684212
NGC 584	22.8363989	-6.8679497
NGC 596	23.216288	-7.03162
NGC 613	23.5759175	-29.418587
NGC 720	28.252179	-13.738681
NGC 908	35.7689255	-21.2337835
NGC 936	36.9059853	-1.1559685
NGC 1052	40.26999375	-8.255764431
NGC 1068	40.6696	-0.0132865
NGC 1097	41.57941	-30.27491
NGC 1187	45.6566278	-22.8670987
NGC 1201	46.0332852	-26.069671
NGC 1255	48.3831896	-25.7250234
NGC 1291	49.3272962	-41.107977
NGC 1300	49.9209389	-19.4111526
NGC 1302	49.9633458	-26.0605439
NGC 1313	49.566875	-66.49825
NGC 1316	50.673754	-37.207939
NGC 1326	50.9850597	-36.4644865
NGC 1332	51.5717781	-21.3351665
NGC 1344	52.0817583	-31.0681493
NGC 1365	53.4016965	-36.1401859
NGC 1380	54.1148758	-34.9760337
NGC 1387	54.2376412	-35.506532
NGC 1395	54.62447083	-23.02747222
NGC 1398	54.7169307	-26.337662
NGC 1399	54.62091667	-35.45019444
NGC 1404	54.71638	-35.59411
NGC 1407	55.0493392	-18.5800438
NGC 1411	54.6870809	-44.100583
NGC 1427	55.5810144	-35.3925122
NGC 1433	55.506121	-47.2218834
NGC 1515	61.0111246	-54.100171
NGC 1527	62.100435	-47.896892
NGC 1533	62.4659427	-56.1184525
NGC 1537	63.419442	-31.6452067
NGC 1543	63.1798853	-57.7378825
NGC 1549	63.9379394	-55.5921831
NGC 1553	64.043484	-55.7800054
NGC 1559	64.398961	-62.783699
NGC 1566	65.0016417	-54.9379439
NGC 1574	65.49479	-56.97451
NGC 1617	67.9141563	-54.6020803
NGC 1672	71.4270926	-59.2472674
NGC 1700	74.2346201	-4.8657417
NGC 1792	76.3100325	-37.9805961
NGC 1808	76.92637917	-37.51274444
NGC 1947	81.698084	-63.7598884
NGC 2207	94.091856	-21.3726645
NGC 2217	95.4155903	-27.23379
NGC 2442	114.099199	-69.5308079
NGC 2784	138.0809667	-24.1726088
NGC 2835	139.4699488	-22.3544807
NGC 2974	145.6387045	-3.6991485
NGC 2997	146.4115818	-31.1909054
NGC 3115	151.308242	-7.718581
NGC 3223	155.3962272	-34.2668374
NGC 3511	165.8492042	-23.0865431
NGC 3513	165.9423449	-23.24561
NGC 3557	167.490165	-37.539177
NGC 3585	168.3212716	-26.7548477
NGC 3621	169.5687958	-32.8138147
NGC 3672	171.2603145	-9.7952514
NGC 3887	176.7691335	-16.8545027
NGC 3904	177.3050975	-29.2768059
NGC 3923	177.7571327	-28.8059408
NGC 3962	178.6670544	-13.9750738
NGC 4105	181.6699766	-29.7602365
NGC 4487	187.7684675	-8.0539194
NGC 4504	188.0725395	-7.5635825
NGC 4546	188.8729132	-3.7931266
NGC 4593	189.9143483	-5.344176306
NGC 4594	189.9976312	-11.62308847
NGC 4666	191.2859771	-0.4620251
NGC 4691	192.056666	-3.332704
NGC 4696	192.2052559	-41.3108653
NGC 4699	192.2590681	-8.6644226
NGC 4731	192.7545417	-6.393055556
NGC 4753	193.091951	-1.1996105
NGC 4818	194.2036788	-8.5252517
NGC 4902	195.248994	-14.5135204
NGC 4939	196.0596391	-10.3395604
NGC 4941	196.0545712	-5.5515957
NGC 4958	196.4537615	-8.020222
NGC 4984	197.2386174	-15.5162961
NGC 4995	197.4193398	-7.8333746
NGC 5018	198.2543592	-19.5181965
NGC 5044	198.8498551	-16.385493
NGC 5054	199.243503	-16.6345636
NGC 5061	199.5214352	-26.8372638
NGC 5068	199.728191	-21.038807
NGC 5101	200.4423649	-27.4304161
NGC 5102	200.4900292	-36.63024389
NGC 5128	201.3650625	-43.01911278
NGC 5161	202.3079875	-33.1739046
NGC 5170	202.4532754	-17.9664312
NGC 5236	204.2539583	-29.86541667
NGC 5247	204.5126705	-17.8841889
NGC 5334	208.226996	-1.1144543
NGC 5556	215.1420755	-29.2415879
NGC 5584	215.5990023	-0.3876693
NGC 5643	218.1696274	-44.1744293
NGC 6118	245.4525639	-2.2834874
NGC 6684	282.2412929	-65.1734346
NGC 6744	287.4424108	-63.857498
NGC 6868	302.4752669	-48.379657
NGC 7049	319.7511517	-48.562083
NGC 7090	324.1200439	-54.5570267
NGC 7144	328.1770567	-48.2538465
NGC 7205	332.1430106	-57.4425982
NGC 7213	332.3177083	-47.16675
NGC 7410	343.753685	-39.6613864
NGC 7424	344.3266078	-41.0706174
NGC 7496	347.447043	-43.4278699
NGC 7507	348.03157	-28.53954
NGC 7552	349.0447029	-42.5846894
NGC 7582	349.59845	-42.37042
NGC 7606	349.7698972	-8.4850895
NGC 7713	354.0624583	-37.93808333
NGC 7793	359.4572088	-32.5909942
IC 1459	344.2941958	-36.46222111
IC 4296	204.1626375	-33.96585361
IC 5201	335.2393681	-46.0359147
IC 5267	344.3061783	-43.3958865
IC 5273	344.8612364	-37.7028515
IC 5328	353.3183416	-45.0158407
